J_Id,medium
2166,Television
2166,Internet
2167,Television
2168,Internet
2168,Print
2169,Print
2170,Print
2171,Television
2172,Internet
2173,Television
2174,Television
2175,Internet
2176,Television
2178,Television
2179,Internet
2180,Radio
2181,Documentary Film
2181,Internet
2182,Internet
2183,Print
2184,Print
2184,Internet
2185,Internet
2186,Television
2187,Television
2188,Print
2189,Print
2190,Television
2191,Internet
2194,Internet
2194,Television
2195,Radio
2196,Internet
2197,Internet
2197,Print
2198,Print
2199,Internet
2199,Radio
2200,Internet
2201,Radio
2202,Internet
2203,Internet
2204,Television
2205,Print
2206,Print
2207,Internet
2207,Television
2208,Television
2209,Radio
2210,Internet
2211,Radio
2212,Television
2213,Print
2214,Print
2215,Radio
2216,Print
2217,Internet
2218,Print
2219,Print
2221,Television
2222,Television
2223,Print
2224,Internet
2225,Radio
2225,Television
2225,Internet
2226,Internet
2227,Radio
2228,Radio
2229,Print
2230,Television
2231,Print
2232,Television
2233,Radio
2235,Internet
2236,Documentary Film
2237,Internet
2238,Radio
2238,Television
2239,Print
2239,Internet
2240,Documentary Film
2241,Radio
2241,Television
2242,Print
2242,Internet
2243,Radio
2244,Print
2245,Print
2246,Print
2247,Print
2247,Internet
2248,Internet
2249,Television
2250,Internet
2251,Print
2252,Internet
2253,Internet
2254,Documentary Film
2254,Internet
2254,Print
2255,Television
2255,Internet
2256,Television
2257,Television
2258,Television
2259,Print
2260,Radio
2261,Print
2261,Internet
2262,Print
2263,Internet
2264,Television
2265,Print
2266,Print
2266,Internet
2267,Television
2268,Television
2269,Print
2270,Internet
2271,Internet
2273,Internet
2274,Print
2275,Print
2278,Print
2279,Television
2280,Print
2280,Internet
2281,Print
2282,Internet
2283,Television
2283,Internet
2284,Radio
2285,Print
2286,Internet
2286,Print
2287,Radio
2288,Radio
2288,Television
2289,Radio
2290,Print
2291,Radio
2292,Radio
2293,Print
2295,Television
2296,Print
2296,Radio
2297,Television
2298,Print
2298,Internet
2299,Internet
2299,Print
2300,Print
2301,Print
2302,Print
2303,Print
2303,Internet
2304,Print
2305,Print
2306,Print
2306,Television
2307,Print
2308,Radio
2309,Television
2310,Print
2311,Print
2311,Television
2312,Radio
2312,Television
2313,Television
2313,Internet
