J_Id,coverage
1250,War
1251,Human Rights
1251,Politics
1253,Politics
1253,War
1254,Human Rights
1254,War
1255,Business
1255,Corruption
1255,Human Rights
1255,Politics
1255,War
1256,Human Rights
1256,Politics
1257,Politics
1257,War
1260,Culture
1260,Politics
1261,Crime
1261,Culture
1261,Politics
1262,Culture
1262,War
1263,War
1264,Politics
1265,Corruption
1265,Politics
1267,Politics
1268,Human Rights
1268,Politics
1269,Politics
1269,War
1270,Business
1270,Corruption
1270,Crime
1270,Culture
1270,Human Rights
1270,Politics
1270,Sports
1270,War
1272,Culture
1272,Human Rights
1273,Human Rights
1273,Politics
1273,War
1275,War
1276,Corruption
1276,War
1278,Culture
1278,Sports
1279,Business
1279,Culture
1282,Politics
1285,Human Rights
1287,Human Rights
1287,Politics
1288,Politics
1292,Corruption
1293,Politics
1295,Corruption
1299,Corruption
1299,Crime
1300,Politics
1301,Business
1301,Corruption
1301,Crime
1301,Culture
1301,Human Rights
1301,Politics
1301,Sports
1301,War
1304,Human Rights
1307,Politics
1307,War
1308,Politics
1308,War
1309,Politics
1310,Politics
1310,Crime
1311,Corruption
1311,Human Rights
1311,Politics
1312,Corruption
1312,Human Rights
1312,Politics
1314,Human Rights
1314,Politics
1315,Human Rights
1315,Politics
1316,Corruption
1316,Politics
1319,Politics
1319,War
1320,Politics
1321,War
1322,Corruption
1322,Culture
1322,Human Rights
1322,Politics
1323,Corruption
1323,Human Rights
1323,Politics
1325,War
1326,Human Rights
1326,Politics
1327,Corruption
1327,Human Rights
1327,Politics
1329,Corruption
1330,Politics
1330,War
1331,Culture
1331,Politics
1332,Corruption
1332,Human Rights
1332,Politics
1333,Politics
1336,Human Rights
1336,War
1337,Corruption
1337,Crime
1340,Corruption
1340,Politics
1341,Politics
1342,Politics
1343,War
1344,War
1345,Human Rights
1345,Politics
1345,War
1346,Human Rights
1346,Politics
1347,Human Rights
1348,Human Rights
1348,Politics
1351,Politics
1352,Human Rights
1353,Politics
1353,War
1354,Human Rights
1354,Politics
1358,Business
1358,Culture
1358,Human Rights
1358,Politics
1359,Politics
1360,War
1361,Politics
1362,Politics
1365,Politics
1366,Corruption
1366,Human Rights
1366,Politics
1366,War
1369,War
1371,Human Rights
1371,Politics
1371,War
1372,War
1373,Corruption
1373,Politics
1374,Politics
1375,Human Rights
1376,Human Rights
1376,Politics
1377,War
1379,War
1380,Human Rights
1380,War
1382,War
1383,Culture
1383,Politics
1384,Culture
1384,Politics
1387,Corruption
1387,Crime
1388,Politics
1389,Business
1389,Corruption
1389,Culture
1390,Corruption
1391,War
1392,Business
1392,Corruption
1392,Crime
1392,Politics
1393,Culture
1394,Politics
1394,War
1398,Corruption
1399,War
1401,Human Rights
1401,Politics
1402,Business
1402,Corruption
1402,Crime
1402,Culture
1402,Human Rights
1402,Politics
1402,Sports
1402,War
1407,War
1408,Crime
1408,Human Rights
1408,Politics
1409,Politics
1411,Business
1411,Politics
1413,Human Rights
1413,Politics
1413,War
1417,War
1418,War
1421,Culture
1421,Sports
1422,Human Rights
1425,Human Rights
1425,Politics
1426,Politics
1426,War
1427,Politics
1429,Culture
1429,Human Rights
1429,Politics
1430,Corruption
1435,Politics
1437,Human Rights
1437,War
1438,Human Rights
1441,Business
1441,Corruption
1441,Politics
1443,Corruption
1443,Crime
1443,Politics
1444,War
1445,Politics
1447,Politics
1449,War
1450,Culture
1450,Politics
1450,War
1454,Human Rights
1455,Business
1455,Culture
1457,Corruption
1457,Crime
1457,Politics
1459,Politics
1461,Politics
1463,Corruption
1463,Human Rights
1464,Corruption
1465,Corruption
1465,Business
1465,Politics
1466,Human Rights
1466,Politics
1466,War
1467,Human Rights
1467,Politics
1468,Culture
1468,Politics
1469,War
1470,Corruption
1470,Culture
1470,Human Rights
1470,Politics
1470,War
1471,Politics
1472,Crime
1473,Politics
1474,Business
1475,War
1477,Human Rights
1477,War
1478,Human Rights
1478,War
1479,Politics
1480,War
1481,War
1483,Business
1483,Human Rights
1483,Politics
1485,Politics
1486,Politics
1487,Politics
1487,War
1488,Politics
1489,Corruption
1490,Business
1490,Culture
1490,Human Rights
1490,Politics
1490,War
1491,Politics
1491,War
1492,Human Rights
1492,Politics
1493,Politics
1494,Politics
1495,Politics
1496,Crime
1496,Human Rights
1496,Politics
1500,Corruption
1500,Crime
1500,Politics
1503,Business
1503,Culture
1503,Politics
1503,Sports
1504,Culture
1504,Human Rights
1504,Politics
1505,Corruption
1505,Politics
1506,Human Rights
1507,Corruption
1507,Politics
1508,Politics
1510,Human Rights
1510,Politics
1510,War
1511,War
1512,Corruption
1512,Politics
1513,Politics
1514,Politics
1516,Crime
1518,Corruption
1518,Crime
1518,Politics
1519,Culture
1519,Human Rights
1521,War
1522,Human Rights
1523,Politics
1524,War
1525,Politics
1525,War
1526,Politics
1526,War
1527,Culture
1527,Human Rights
1528,Corruption
1530,Politics
1532,Politics
1534,Politics
1535,Business
1535,Culture
1535,Politics
1536,Business
1536,Corruption
1536,Crime
1536,Human Rights
1538,Politics
1539,Politics
1540,Politics
1541,Corruption
1542,Corruption
1542,Human Rights
1542,Politics
1543,Culture
1543,Human Rights
1543,Politics
1544,Human Rights
1544,Politics
1546,Human Rights
1547,Sports
1548,Politics
1549,Politics
1550,Politics
1553,Corruption
1553,Politics
1554,Crime
1554,Politics
1555,Corruption
1555,Politics
1556,War
1557,Politics
1558,Politics
1559,Human Rights
1559,Politics
1559,War
1560,War
1561,Politics
1562,Politics
1563,Sports
1564,War
1565,Corruption
1565,Politics
1566,Politics
1568,Crime
1569,Culture
1569,Politics
1570,Politics
1571,War
1572,Politics
1573,War
1574,Human Rights
1576,Crime
1576,Politics
1577,Crime
1578,Human Rights
1580,Corruption
1580,Politics
1581,Corruption
1582,Corruption
1585,Politics
1589,War
1590,War
1591,Corruption
1591,Politics
1592,Culture
1593,Crime
1593,Politics
1595,Corruption
1595,Crime
1598,Business
1598,Corruption
1598,Politics
1599,Crime
1602,Corruption
1602,Crime
1602,Human Rights
1603,Corruption
1603,Politics
1604,War
1605,Corruption
1605,Politics
1606,Corruption
1608,Corruption
1608,Politics
1610,Corruption
1611,Politics
1614,Crime
1615,Politics
1617,Politics
1618,Corruption
1618,Crime
1622,Corruption
1622,Crime
1622,Politics
1625,Corruption
1625,Crime
1626,Politics
1627,Corruption
1627,Crime
1627,War
1629,Corruption
1629,Crime
1629,Politics
1631,Corruption
1631,Politics
1632,Politics
1633,Corruption
1635,Politics
1636,Human Rights
1639,Politics
1640,Culture
1640,Sports
1642,Crime
1644,Corruption
1644,Crime
1644,Politics
1644,Human Rights
1647,Corruption
1647,Politics
1648,War
1649,Human Rights
1649,Politics
1651,Corruption
