J_Id,sourceOfFire
2370,Political Group
2376,Political Group
2381,Military Officials
2382,Government Officials
2385,Mob Violence
2387,Political Group
2391,Government Officials
2391,Criminal Group
2399,Political Group
2400,Military Officials
2413,Government Officials
2422,Government Officials
2422,Criminal Group
2447,Government Officials
2459,Political Group
2461,Criminal Group
2463,Government Officials
2466,Government Officials
2467,Criminal Group
2468,Government Officials
2471,Political Group
2472,Military Officials
2473,Military Officials
2474,Criminal Group
2475,Criminal Group
2482,Political Group
2483,Military Officials
2485,Military Officials
2486,Government Officials
2487,Political Group
2489,Government Officials
2491,Political Group
2500,Government Officials
2502,Military Officials
2503,Paramilitary Group
2504,Political Group
2505,Military Officials
2507,Criminal Group
2507,Government Officials
2508,Government Officials
2510,Military Officials
2517,Paramilitary Group
2525,Political Group
2526,Military Officials
2529,Political Group
2530,Political Group
2536,Government Officials
2539,Government Officials
2540,Political Group
2542,Criminal Group
2542,Local Residents
2542,Military Officials
2542,Paramilitary Group
2542,Political Group
2543,Government Officials
2547,Military Officials
2548,Military Officials
2551,Government Officials
2551,Military Officials
2554,Criminal Group
2562,Political Group
2569,Political Group
2570,Political Group
2572,Criminal Group
2572,Government Officials
2580,Unknown Fire
2581,Political Group
2583,Political Group
2597,Political Group
2598,Military Officials
2600,Mob Violence
2601,Criminal Group
2602,Political Group
2603,Political Group
2610,Criminal Group
2611,Unknown Fire
2612,Political Group
2613,Government Officials
2617,Government Officials
2620,Government Officials
2621,Political Group
2623,Political Group
2638,Political Group
2641,Government Officials
2642,Local Residents
2643,Political Group
2646,Military Officials
2648,Military Officials
2650,Military Officials
2658,Political Group
2659,Government Officials
2660,Political Group
2661,Government Officials
2661,Mob Violence
2663,Government Officials
2666,Military Officials
2672,Political Group
2673,Political Group
2675,Political Group
2678,Political Group
2681,Political Group
2685,Political Group
2686,Government Officials
2688,Criminal Group
2689,Political Group
2690,Military Officials
2691,Political Group
2698,Criminal Group
2699,Criminal Group
2701,Criminal Group
2702,Political Group
2703,Government Officials
2707,Military Officials
2708,Military Officials
2709,Military Officials
2710,Political Group
2712,Military Officials
2714,Political Group
2720,Political Group
2735,Government Officials
2736,Political Group
2742,Government Officials
2745,Government Officials
2751,Political Group
2756,Political Group
2757,Military Officials
2763,Criminal Group
2765,Mob Violence
2768,Political Group
2769,Local Residents
2770,Military Officials
2773,Local Residents
2776,Criminal Group
2777,Paramilitary Group
2780,Military Officials
2781,Paramilitary Group
2783,Criminal Group
2784,Government Officials
2785,Government Officials
2791,Military Officials
2793,Criminal Group
2794,Criminal Group
2798,Government Officials
2799,Government Officials
2800,Government Officials
2803,Government Officials
2805,Military Officials
2807,Government Officials
2809,Criminal Group
2811,Government Officials
2815,Political Group
2816,Local Residents
2820,Military Officials
2822,Political Group
2823,Political Group
2825,Military Officials
2828,Political Group
2829,Political Group
2836,Criminal Group
2839,Political Group
2848,Political Group
2850,Paramilitary Group
2851,Political Group
2852,Political Group
2855,Political Group
2858,Political Group
2864,Political Group
2865,Political Group
2869,Paramilitary Group
2871,Political Group
2872,Political Group
2873,Political Group
2876,Government Officials
2882,Political Group
2886,Military Officials
2887,Political Group
2889,Paramilitary Group
2890,Military Officials
2894,Military Officials
2898,Political Group
2900,Military Officials
2902,Criminal Group
2902,Government Officials
2903,Criminal Group
2905,Political Group
2906,Political Group
2908,Military Officials
2909,Political Group
2912,Political Group
2916,Political Group
2919,Government Officials
2928,Government Officials
2931,Criminal Group
2932,Military Officials
2936,Local Residents
2937,Government Officials
2939,Paramilitary Group
2941,Political Group
2943,Government Officials
2944,Political Group
2949,Local Residents
2950,Government Officials
2954,Political Group
2955,Political Group
2956,Government Officials
2957,Criminal Group
2971,Political Group
2974,Political Group
2984,Military Officials
3006,Political Group
3008,Political Group
3009,Government Officials
3010,Military Officials
3013,Military Officials
3014,Military Officials
3015,Criminal Group
3016,Criminal Group
3019,Mob Violence
3020,Military Officials
3025,Political Group
3026,Political Group
3027,Political Group
3028,Political Group
3033,Political Group
3034,Political Group
3035,Political Group
3040,Military Officials
3047,Political Group
3052,Political Group
3054,Military Officials
3067,Government Officials
3070,Political Group
3071,Political Group
3075,Criminal Group
3077,Political Group
3079,Local Residents
3092,Government Officials
3094,Government Officials
3096,Military Officials
3097,Political Group
