J_Id,job
780,Columnist/Commentator
781,Editor
782,Editor
782,Print Reporter
782,Publisher/Owner
783,Editor
783,Print Reporter
783,Publisher/Owner
784,Editor
785,Print Reporter
787,Print Reporter
788,Broadcast Reporter
789,Internet Reporter
789,Photographer
789,Print Reporter
790,Editor
791,Columnist/Commentator
792,Publisher/Owner
792,Print Reporter
793,Broadcast Reporter
794,Print Reporter
795,Publisher/Owner
796,Columnist/Commentator
797,Print Reporter
799,Editor
800,Broadcast Reporter
803,Columnist/Commentator
804,Camera Operator
805,Camera Operator
805,Producer
809,Editor
811,Editor
813,Internet Reporter
814,Broadcast Reporter
814,Internet Reporter
815,Editor
816,Broadcast Reporter
818,Print Reporter
819,Editor
820,Editor
820,Internet Reporter
822,Columnist/Commentator
823,Editor
826,Broadcast Reporter
827,Photographer
828,Print Reporter
829,Print Reporter
830,Photographer
831,Publisher/Owner
832,Photographer
833,Print Reporter
834,Print Reporter
835,Editor
835,Print Reporter
837,Camera Operator
838,Internet Reporter
839,Columnist/Commentator
840,Editor
840,Publisher/Owner
841,Columnist/Commentator
842,Print Reporter
843,Broadcast Reporter
844,Columnist/Commentator
845,Camera Operator
846,Broadcast Reporter
847,Broadcast Reporter
847,Columnist/Commentator
848,Internet Reporter
849,Editor
850,Internet Reporter
851,Columnist/Commentator
852,Broadcast Reporter
853,Producer
854,Editor
855,Print Reporter
856,Broadcast Reporter
856,Camera Operator
858,Internet Reporter
860,Internet Reporter
860,Print Reporter
861,Publisher/Owner
862,Editor
862,Internet Reporter
862,Producer
863,Columnist/Commentator
865,Publisher/Owner
867,Columnist/Commentator
867,Editor
868,Photographer
870,Publisher/Owner
871,Columnist/Commentator
872,Broadcast Reporter
872,Columnist/Commentator
874,Editor
874,Publisher/Owner
875,Broadcast Reporter
877,Print Reporter
878,Internet Reporter
879,Editor
879,Publisher/Owner
880,Publisher/Owner
881,Broadcast Reporter
885,Producer
886,Camera Operator
887,Broadcast Reporter
889,Columnist/Commentator
890,Broadcast Reporter
891,Columnist/Commentator
892,Publisher/Owner
893,Photographer
895,Camera Operator
896,Broadcast Reporter
896,Technician
897,Editor
898,Broadcast Reporter
898,Internet Reporter
900,Editor
901,Internet Reporter
902,Editor
903,Broadcast Reporter
904,Internet Reporter
905,Print Reporter
906,Print Reporter
907,Photographer
907,Print Reporter
908,Editor
909,Columnist/Commentator
910,Broadcast Reporter
911,Columnist/Commentator
913,Columnist/Commentator
913,Internet Reporter
914,Columnist/Commentator
915,Internet Reporter
916,Broadcast Reporter
917,Publisher/Owner
918,Print Reporter
919,Publisher/Owner
920,Editor
921,Print Reporter
922,Print Reporter
924,Print Reporter
925,Editor
926,Print Reporter
927,Internet Reporter
927,Print Reporter
928,Broadcast Reporter
928,Camera Operator
931,Columnist/Commentator
932,Print Reporter
933,Technician
934,Broadcast Reporter
934,Editor
935,Print Reporter
936,Publisher/Owner
937,Publisher/Owner
938,Internet Reporter
938,Photographer
939,Editor
940,Editor
941,Publisher/Owner
942,Internet Reporter
942,Print Reporter
943,Editor
944,Broadcast Reporter
944,Producer
945,Broadcast Reporter
945,Internet Reporter
945,Print Reporter
946,Editor
947,Broadcast Reporter
948,Columnist/Commentator
950,Editor
951,Broadcast Reporter
952,Editor
953,Editor
954,Publisher/Owner
954,Internet Reporter
954,Print Reporter
954,Editor
955,Camera Operator
955,Photographer
956,Print Reporter
957,Columnist/Commentator
957,Editor
957,Internet Reporter
957,Publisher/Owner
958,Columnist/Commentator
959,Producer
960,Editor
960,Publisher/Owner
961,Internet Reporter
962,Editor
964,Print Reporter
965,Editor
966,Internet Reporter
967,Editor
968,Broadcast Reporter
968,Editor
969,Photographer
970,Print Reporter
971,Broadcast Reporter
972,Camera Operator
973,Columnist/Commentator
973,Editor
973,Print Reporter
974,Broadcast Reporter
975,Print Reporter
976,Editor
977,Broadcast Reporter
977,Columnist/Commentator
978,Broadcast Reporter
979,Camera Operator
980,Print Reporter
981,Publisher/Owner
982,Internet Reporter
983,Editor
983,Internet Reporter
984,Print Reporter
985,Photographer
987,Editor
988,Print Reporter
989,Columnist/Commentator
990,Editor
991,Editor
992,Columnist/Commentator
993,Producer
994,Camera Operator
994,Internet Reporter
995,Camera Operator
996,Broadcast Reporter
997,Print Reporter
998,Broadcast Reporter
998,Columnist/Commentator
998,Producer
999,Broadcast Reporter
999,Internet Reporter
1000,Columnist/Commentator
1001,Camera Operator
1002,Publisher/Owner
1003,Publisher/Owner
1004,Print Reporter
1005,Editor
1006,Publisher/Owner
1007,Print Reporter
1008,Editor
1009,Editor
1010,Print Reporter
1011,Editor
1012,Editor
1013,Broadcast Reporter
1014,Print Reporter
1016,Internet Reporter
1016,Print Reporter
1017,Columnist/Commentator
1017,Print Reporter
1019,Editor
1019,Publisher/Owner
1020,Editor
1022,Photographer
1022,Print Reporter
1024,Print Reporter
1026,Editor
1027,Internet Reporter
1028,Internet Reporter
1029,Editor
1030,Print Reporter
1031,Columnist/Commentator
1033,Print Reporter
1036,Broadcast Reporter
1037,Camera Operator
1038,Editor
1039,Internet Reporter
1039,Print Reporter
1041,Publisher/Owner
1042,Technician
1043,Broadcast Reporter
1043,Camera Operator
1044,Print Reporter
1045,Print Reporter
1046,Editor
1047,Broadcast Reporter
1047,Print Reporter
1048,Editor
1049,Print Reporter
1050,Editor
1051,Broadcast Reporter
1052,Producer
1052,Technician
1053,Editor
1054,Print Reporter
