J_Id,charge
2877,Anti-State
2879,Retaliatory
2880,Anti-State
2881,Anti-State
2883,Anti-State
2885,Anti-State
2888,No charge disclosed
2891,Anti-State
2892,Anti-State
2892,Retaliatory
2893,Anti-State
2895,Retaliatory
2896,Defamation
2897,Anti-State
2899,Anti-State
2907,Anti-State
2910,Anti-State
2913,No Charge
2914,No charge disclosed
2917,No Charge
2918,Anti-State
2918,False News
2920,Ethnic or Religious Insult
2921,Anti-State
2925,Anti-State
2929,No charge disclosed
2933,Anti-State
2938,Anti-State
2938,Retaliatory
2940,Retaliatory
2942,Defamation
2942,Retaliatory
2947,No Charge
2948,No Charge
2951,Anti-State
2951,False News
2952,Anti-State
2963,Anti-State
2964,Anti-State
2966,Anti-State
2967,Anti-State
2968,Censorship Violation
2969,Anti-State
2970,No Charge
2972,Anti-State
2973,Anti-State
2975,No Charge
2976,Anti-State
2977,Anti-State
2979,Anti-State
2981,Retaliatory
2985,Retaliatory
2988,Anti-State
2990,Anti-State
2991,Anti-State
2994,Anti-State
2995,Anti-State
2996,Anti-State
2997,Retaliatory
2998,No Charge
2999,No charge disclosed
3000,Retaliatory
3001,No Charge
3002,Anti-State
3002,False News
3003,Anti-State
3003,False News
3005,Retaliatory
3011,Anti-State
3017,Anti-State
3022,No Charge
3029,Retaliatory
3030,No Charge
3031,Anti-State
3032,Anti-State
3037,Anti-State
3038,Anti-State
3041,Defamation
3041,Retaliatory
3042,Anti-State
3043,Anti-State
3043,False News
3048,Anti-State
3048,False News
3049,Anti-State
3053,No Charge
3055,No Charge
3056,Anti-State
3057,Retaliatory
3058,Anti-State
3060,Anti-State
3060,False News
3062,No Charge
3062,Anti-State
3063,Retaliatory
3064,No Charge
3065,Anti-State
3066,Anti-State
3066,Retaliatory
3068,Retaliatory
3072,Anti-State
3072,Retaliatory
3074,Censorship Violation
3076,No Charge
3078,Anti-State
3078,False News
3080,Anti-State
3081,Anti-State
3081,False News
3082,Anti-State
3083,False News
3084,False News
3085,Retaliatory
3086,Anti-State
3086,Defamation
3087,Defamation
3088,No charge disclosed
3089,Anti-State
3093,Anti-State
3095,Anti-State
